"veh_value","exposure","clm","veh_body","veh_age","gender","area","agecat"
2.48,0.7036276523,"0","STNWG","2","F","B","4"
0.46,0.2135523614,"1","HBACK","4","M","F","3"
4.06,0.2436687201,"0","TRUCK","1","M","A","4"
4.7,0.6187542779,"1","STNWG","1","F","F","2"
0.5,0.3531827515,"0","STNWG","4","F","B","5"
0.72,0.6379192334,"0","HBACK","4","F","A","2"
0.74,0.5284052019,"1","UTE","4","M","C","6"
2.5,0.2381930185,"1","STNWG","2","F","D","3"
1.11,0.8049281314,"1","SEDAN","3","M","A","1"
2.13,0.2299794661,"0","STNWG","3","M","D","4"
2.1,0.4900752909,"0","HDTOP","3","M","C","1"
1.98,0.3613963039,"0","SEDAN","2","F","C","3"
1.399,0.9418206708,"1","HBACK","1","F","A","3"
1.59,0.6707734428,"0","SEDAN","3","F","D","6"
3.549,0.4654346338,"1","STNWG","1","F","F","3"
1.84,0.6324435318,"0","SEDAN","2","F","C","3"
0.93,0.6652977413,"1","COUPE","4","F","C","1"
3.4,0.5503080082,"1","STNWG","2","M","D","1"
1.44,0.4736481862,"1","SEDAN","3","M","A","6"
1.89,0.3613963039,"1","UTE","2","M","A","1"
2.8,0.6324435318,"1","SEDAN","3","M","C","4"
1.69,0.1341546886,"0","SEDAN","2","M","E","6"
3.28,0.2162902122,"1","STNWG","2","F","F","1"
1.3,0.9993155373,"0","STNWG","4","F","D","6"
1.85,0.9418206708,"1","SEDAN","2","F","B","2"
5.05,0.2464065708,"1","SEDAN","1","F","D","3"
3.33,0.7446954141,"1","COUPE","2","F","C","3"
0.42,0.6160164271,"1","STNWG","4","F","C","3"
4.29,0.8624229979,"0","STNWG","2","M","A","3"
1.58,0.7227926078,"1","UTE","3","M","A","5"
2.79,0.848733744,"1","BUS","3","F","F","2"
1.05,0.9993155373,"1","SEDAN","4","F","A","4"
0.69,0.9993155373,"0","HBACK","4","F","D","3"
1.85,0.9965776865,"0","HBACK","1","M","C","3"
1.21,0.9856262834,"1","SEDAN","3","F","A","3"
1.26,0.5065023956,"1","HBACK","2","M","C","4"
1.25,0.0684462697,"0","STNWG","4","M","C","6"
4.93,0.424366872,"0","COUPE","1","F","B","5"
2.61,0.2737850787,"0","STNWG","2","F","C","3"
1.42,0.4818617385,"1","HBACK","1","F","A","4"
3.8,0.052019165,"0","TRUCK","1","F","E","4"
2.01,0.9664613279,"1","STNWG","2","M","C","1"
2.13,0.8131416838,"1","STNWG","2","F","A","1"
0.9,0.1341546886,"0","SEDAN","3","F","C","4"
3.76,0.3778234086,"0","STNWG","3","F","D","2"
1.1,0.7830253251,"1","HBACK","3","M","B","6"
2.1,0.0574948665,"0","SEDAN","3","M","B","4"
0.65,0.424366872,"0","SEDAN","4","F","D","6"
1.64,0.4709103354,"1","STNWG","4","F","C","2"
1.01,0.3394934976,"0","SEDAN","3","M","A","2"
0.71,0.7446954141,"0","UTE","4","F","A","3"
1.41,0.9993155373,"0","SEDAN","2","M","E","6"
2.75,0.4161533196,"1","SEDAN","1","F","C","3"
2.72,0.6680355921,"1","STNWG","2","F","A","4"
1.67,0.6680355921,"0","SEDAN","3","F","C","2"
4.38,0.3504449008,"0","STNWG","2","M","B","5"
1.835,0.6598220397,"1","HBACK","1","F","D","2"
1.8,0.9965776865,"0","SEDAN","3","M","B","3"
1.31,0.3969883641,"0","SEDAN","3","M","C","2"
0.75,0.0355920602,"0","SEDAN","4","F","C","2"
1.52,0.8788501027,"1","SEDAN","2","M","A","2"
1.85,0.9226557153,"0","STNWG","3","M","E","4"
3.162,0.9664613279,"1","UTE","1","M","B","5"
2.58,0.7145790554,"1","SEDAN","1","M","B","6"
1.97,0.0629705681,"1","SEDAN","1","F","C","3"
0.95,0.6981519507,"0","SEDAN","4","F","B","5"
1.91,0.4435318275,"1","STNWG","4","M","C","4"
1.48,0.5174537988,"1","SEDAN","3","M","B","5"
1.34,0.6543463381,"0","SEDAN","2","F","C","3"
3.33,0.7364818617,"1","TRUCK","3","M","C","3"
0.8,0.4490075291,"0","HBACK","4","F","B","6"
1.4,0.9418206708,"0","SEDAN","3","F","E","4"
3.72,0.0848733744,"1","STNWG","2","M","F","2"
2.55,0.8569472964,"1","SEDAN","1","F","D","4"
1.75,0.052019165,"0","HBACK","1","F","B","4"
1.19,0.8131416838,"1","HBACK","2","F","C","4"
2.01,0.6789869952,"0","HBACK","1","M","A","2"
1.13,0.6132785763,"0","HBACK","3","F","A","5"
2.12,0.334017796,"0","HBACK","2","F","C","3"
3.85,0.1916495551,"0","STNWG","1","M","E","2"
2.75,0.3449691992,"1","SEDAN","1","F","A","4"
0.48,0.6351813826,"0","SEDAN","4","F","B","2"
1.71,0.2819986311,"1","SEDAN","2","F","A","4"
1.54,0.6652977413,"1","SEDAN","3","M","B","2"
2.15,0.8843258042,"1","SEDAN","1","F","C","3"
16.98,0.3175906913,"0","SEDAN","1","M","C","5"
3.15,0.4736481862,"0","SEDAN","1","F","D","5"
0.9,0.2683093771,"0","HBACK","3","F","B","3"
1.79,0.6488706365,"1","UTE","4","F","E","3"
2.83,0.4955509925,"0","TRUCK","3","F","A","2"
0.84,0.605065024,"0","HBACK","3","F","C","5"
3.97,0.1916495551,"0","STNWG","2","M","A","4"
0.39,0.7282683094,"0","SEDAN","4","M","B","5"
1.799,0.0547570157,"1","SEDAN","1","M","A","2"
1.57,0.2683093771,"1","HBACK","1","M","A","1"
1.3,0.9856262834,"0","HDTOP","4","F","B","3"
2.34,0.6379192334,"0","UTE","2","F","B","2"
2.22,0.8377823409,"0","STNWG","3","M","C","3"
0.9,0.4928131417,"1","HBACK","3","F","B","1"
2.51,0.4982888433,"1","UTE","2","M","E","1"
1.76,0.9637234771,"1","SEDAN","2","F","C","4"
1.24,0.6954140999,"0","UTE","4","M","B","2"
2.66,0.0602327173,"0","STNWG","2","M","B","3"
1.66,0.2245037645,"0","SEDAN","3","M","D","4"
3.01,0.3367556468,"0","STNWG","3","M","A","1"
1.87,0.9582477755,"0","HBACK","2","F","C","3"
1.56,0.4079397673,"0","HDTOP","3","M","C","6"
1.1,0.8405201916,"1","HBACK","3","F","A","4"
2.01,0.8624229979,"1","HBACK","1","F","A","1"
0.78,0.205338809,"0","HBACK","3","F","A","3"
4.28,0.1889117043,"1","STNWG","2","M","B","2"
5.6,0.6844626968,"1","SEDAN","2","F","B","4"
0.69,0.0492813142,"0","SEDAN","4","F","A","4"
0.75,0.7145790554,"1","COUPE","4","F","D","4"
6.51,0.2737850787,"0","STNWG","1","M","D","3"
2.83,0.462696783,"1","STNWG","2","F","C","2"
5.813,0.9993155373,"1","STNWG","1","F","B","3"
2.99,0.4654346338,"0","STNWG","1","F","C","3"
0.74,0.6214921287,"0","SEDAN","4","F","B","6"
2.38,0.0602327173,"0","STNWG","3","M","F","2"
0.77,0.629705681,"1","STNWG","4","F","A","6"
1.38,0.6488706365,"0","STNWG","3","F","C","2"
1.35,0.5174537988,"1","SEDAN","3","F","E","6"
2.8,0.4982888433,"1","STNWG","2","F","E","4"
2.78,0.848733744,"0","TRUCK","3","M","E","4"
0.99,0.5749486653,"0","HBACK","3","F","B","2"
4.47,0.9226557153,"1","STNWG","1","F","A","2"
0.53,0.462696783,"0","SEDAN","4","F","A","4"
2.33,0.5831622177,"1","TRUCK","3","M","D","4"
1.19,0.7446954141,"1","SEDAN","3","F","A","2"
0.82,0.7282683094,"1","HBACK","4","F","C","1"
0.47,0.9746748802,"0","HBACK","4","F","C","2"
1.35,0.720054757,"0","TRUCK","2","M","A","4"
1.68,0.6351813826,"1","UTE","3","M","E","2"
1.86,0.1149897331,"0","STNWG","2","F","C","3"
2.75,0.0711841205,"0","SEDAN","1","F","D","4"
1.03,0.59137577,"0","HBACK","2","F","C","2"
1.96,0.6926762491,"0","SEDAN","1","F","A","3"
2.49,0.1998631075,"0","STNWG","3","F","D","2"
2.41,0.0054757016,"1","TRUCK","3","M","D","3"
0.35,0.9555099247,"1","SEDAN","4","F","C","3"
0.71,0.6461327858,"1","SEDAN","4","M","C","5"
1.26,0.900752909,"1","HBACK","2","M","C","6"
1.3,0.6598220397,"1","HBACK","2","F","B","2"
1.49,0.977412731,"0","UTE","3","M","D","4"
2.53,0.4271047228,"1","HDTOP","1","F","C","3"
2.11,0.9801505818,"1","SEDAN","2","F","C","2"
3.81,0.4298425736,"1","STNWG","3","M","C","6"
2.32,0.9418206708,"0","SEDAN","2","F","D","3"
2.23,0.1587953457,"0","STNWG","2","F","B","3"
1.68,0.7529089665,"1","STNWG","3","F","C","2"
0.71,0.4188911704,"1","SEDAN","4","M","B","6"
0.31,0.7994524298,"1","SEDAN","4","M","B","6"
1.51,0.1505817933,"1","MIBUS","4","F","B","2"
0.48,0.6735112936,"0","HBACK","4","F","C","3"
1.63,0.9418206708,"0","SEDAN","3","F","B","3"
2.31,0.6160164271,"1","HBACK","1","F","C","4"
1.43,0.2819986311,"1","STNWG","4","M","A","4"
2.08,0.6954140999,"1","SEDAN","2","M","C","3"
1.96,0.1806981519,"0","SEDAN","3","F","A","3"
0.88,0.8323066393,"1","UTE","4","M","B","6"
3.03,0.1067761807,"0","TRUCK","3","F","E","4"
0.71,0.0876112252,"1","HBACK","3","F","C","4"
0.74,0.2655715263,"0","STNWG","4","M","B","6"
2.13,0.9089664613,"0","STNWG","2","F","B","2"
1.38,0.5941136208,"1","SEDAN","3","M","C","3"
1.48,0.7857631759,"0","HBACK","1","M","C","4"
0.77,0.6570841889,"0","SEDAN","4","F","C","4"
2.97,0.1478439425,"0","STNWG","2","F","E","4"
2.15,0.8076659822,"1","HBACK","3","F","C","3"
1.91,0.5804243669,"1","STNWG","4","F","B","4"
1.36,0.2655715263,"0","HBACK","3","F","C","5"
1.75,0.0465434634,"1","SEDAN","1","F","C","1"
0.44,0.9828884326,"0","HBACK","4","F","B","5"
1.77,0.6598220397,"0","COUPE","3","M","C","3"
1.28,0.1149897331,"0","SEDAN","3","F","E","2"
2,0.8925393566,"1","HBACK","1","F","B","6"
1.92,0.0876112252,"0","HBACK","1","F","F","5"
3.75,0.8815879535,"0","STNWG","2","M","E","2"
0.81,0.605065024,"1","HBACK","3","M","D","4"
2.48,0.4599589322,"1","PANVN","1","M","A","2"
2.7,0.900752909,"0","STNWG","1","F","C","3"
6.41,0.5393566051,"0","SEDAN","1","F","C","5"
0.5,0.6160164271,"0","STNWG","4","F","C","3"
1.7643,0.6461327858,"0","HBACK","1","F","A","6"
0.73,0.8980150582,"0","SEDAN","4","M","B","6"
2.26,0.5776865161,"0","HBACK","1","F","C","1"
0.87,0.4544832307,"0","UTE","4","M","C","3"
0.29,0.0793976728,"0","HBACK","4","F","E","2"
1.5,0.1013004791,"0","HBACK","1","F","A","1"
0.76,0.2299794661,"0","SEDAN","4","F","A","3"
1.26,0.9582477755,"0","HBACK","2","F","A","1"
1.19,0.5065023956,"0","UTE","4","M","D","3"
2.31,0.1587953457,"0","STNWG","4","F","B","4"
4.31,0.7392197125,"1","STNWG","1","F","A","3"
3.46,0.8815879535,"1","UTE","1","M","A","4"
0.83,0.4572210814,"0","TRUCK","3","M","A","3"
0.6,0.772073922,"1","SEDAN","4","M","B","3"
1.76,0.3997262149,"0","SEDAN","3","F","B","4"
1.57,0.4517453799,"1","SEDAN","2","F","A","3"
0.26,0.076659822,"0","HBACK","4","F","C","6"
1.37,0.9801505818,"1","HBACK","1","F","A","4"
1.16,0.4188911704,"0","HBACK","2","F","C","4"
1.38,0.4161533196,"0","HBACK","2","F","C","4"
1.31,0.8624229979,"0","HBACK","2","F","C","4"
1.74,0.8624229979,"1","SEDAN","2","F","A","4"
4.01,0.9144421629,"1","STNWG","2","M","F","2"
0.48,0.7227926078,"1","HBACK","4","M","C","1"
1.17,0.9144421629,"0","SEDAN","4","M","A","5"
0.44,0.0355920602,"0","HBACK","4","F","A","2"
0.72,0.7227926078,"1","SEDAN","4","F","E","2"
0.42,0.6023271732,"0","COUPE","4","F","C","2"
1.79,0.5366187543,"0","SEDAN","2","F","F","5"
0.91,0.5557837098,"0","UTE","4","M","B","3"
0.97,0.4435318275,"1","SEDAN","3","F","B","2"
0.85,0.2874743326,"1","SEDAN","4","M","A","4"
2.95,0.6187542779,"1","STNWG","3","M","D","2"
1.26,0.8898015058,"1","HBACK","2","F","C","1"
1.24,0.2683093771,"0","HBACK","3","F","B","5"
0.92,0.7091033539,"0","HBACK","3","F","F","4"
2.23,0.0574948665,"0","SEDAN","1","F","C","5"
2.75,0.1998631075,"0","STNWG","1","M","D","6"
0.44,0.8952772074,"1","HBACK","4","F","B","3"
0.44,0.7310061602,"1","SEDAN","4","F","B","6"
2.29,0.8158795346,"0","PANVN","2","F","E","3"
1.87,0.9637234771,"1","HBACK","2","F","A","3"
2.05,0.9609856263,"1","SEDAN","2","F","B","2"
2.6,0.1834360027,"0","UTE","2","F","C","3"
1.92,0.2710472279,"0","SEDAN","1","F","D","6"
1.37,0.9308692676,"1","HBACK","1","M","A","1"
1.06,0.9363449692,"0","STNWG","3","F","B","3"
2.7,0.7775496235,"1","STNWG","2","F","A","2"
0.89,0.2354551677,"1","HBACK","3","M","A","3"
1.17,0.7529089665,"1","HBACK","2","M","A","3"
2.07,0.8076659822,"1","STNWG","1","M","A","2"
0.64,0.295687885,"1","HBACK","4","F","C","4"
2.07,0.7501711157,"0","SEDAN","2","M","B","2"
1.33,0.9828884326,"1","HBACK","3","F","A","2"
0.5,0.2874743326,"0","SEDAN","4","F","D","3"
1.56,0.3312799452,"1","STNWG","3","F","E","4"
3.46,0.9199178645,"1","UTE","1","F","A","3"
1.66,0.629705681,"0","STNWG","4","F","C","5"
0.31,0.3449691992,"0","SEDAN","4","M","C","3"
1.25,0.6269678302,"0","UTE","3","M","B","4"
0.93,0.9582477755,"0","HBACK","4","F","C","5"
3.549,0.9117043121,"1","STNWG","1","M","B","6"
1.89,0.4599589322,"0","SEDAN","3","M","B","4"
0.81,0.8131416838,"1","PANVN","4","M","A","2"
1.93,0.3915126626,"1","STNWG","4","M","E","2"
2.81,0.9993155373,"0","STNWG","4","F","B","4"
1.28,0.4955509925,"0","SEDAN","3","M","A","3"
1.65,0.6543463381,"0","SEDAN","3","F","C","4"
0.63,0.5968514716,"0","HBACK","4","F","C","4"
0.6,0.6652977413,"0","COUPE","4","M","B","1"
1.49,0.424366872,"1","HBACK","1","F","A","6"
3.36,0.5311430527,"0","STNWG","2","F","A","4"
1.1,0.810403833,"1","SEDAN","3","F","D","4"
0.27,0.2737850787,"1","HBACK","4","F","F","5"
1.51,0.4654346338,"1","SEDAN","3","F","D","5"
2.85,0.8651608487,"0","TRUCK","3","M","E","2"
1.37,0.9993155373,"1","SEDAN","3","F","C","4"
1.29,0.9664613279,"1","HBACK","2","F","D","4"
1.84,0.1916495551,"0","SEDAN","2","M","A","3"
0.62,0.076659822,"0","SEDAN","4","M","B","4"
1.18,0.8323066393,"1","HBACK","2","F","B","1"
3.667,0.3668720055,"0","STNWG","1","F","C","4"
2.02,0.2902121834,"1","STNWG","3","M","B","5"
1.93,0.8815879535,"1","SEDAN","1","F","B","3"
1.64,0.4818617385,"0","SEDAN","2","F","C","6"
1.32,0.3093771389,"0","PANVN","3","M","C","4"
4,0.9993155373,"1","STNWG","3","M","B","3"
1.76,0.4188911704,"1","SEDAN","2","F","A","3"
2.11,0.167008898,"0","UTE","3","M","E","5"
1.57,0.7939767283,"1","HBACK","2","F","A","4"
0.97,0.2546201232,"0","SEDAN","3","M","B","4"
1.56,0.5284052019,"1","STNWG","4","M","F","3"
1.53,0.4435318275,"1","UTE","3","M","B","5"
1.68,0.6160164271,"1","HBACK","2","F","C","3"
1.42,0.167008898,"0","SEDAN","2","M","C","2"
1.24,0.8706365503,"0","SEDAN","3","F","E","4"
0.5,0.5831622177,"1","HBACK","4","M","C","1"
1.02,0.9199178645,"0","SEDAN","3","M","B","4"
1.38,0.2272416153,"0","SEDAN","3","M","A","6"
1.36,0.9993155373,"0","HBACK","2","F","C","4"
0.93,0.3449691992,"1","HBACK","3","F","E","2"
0.73,0.2683093771,"0","SEDAN","4","M","D","4"
0.58,0.2135523614,"1","SEDAN","4","M","B","5"
1.84,0.900752909,"0","SEDAN","1","F","C","2"
0.72,0.9719370294,"0","SEDAN","4","F","A","3"
1.76,0.5284052019,"0","HBACK","2","F","B","3"
1.54,0.9445585216,"1","SEDAN","2","F","B","4"
2.28,0.8432580424,"1","STNWG","2","M","A","3"
1.17,0.6269678302,"0","STNWG","3","F","C","1"
1.14,0.5092402464,"0","SEDAN","3","F","C","6"
0.48,0.6598220397,"0","HBACK","4","F","B","3"
1.29,0.8076659822,"1","SEDAN","3","F","C","1"
0.72,0.4407939767,"0","SEDAN","4","F","D","3"
0.24,0.6926762491,"0","HBACK","4","F","B","1"
4.7,0.848733744,"0","STNWG","1","F","C","2"
1.97,0.3066392882,"0","SEDAN","2","F","C","1"
2.11,0.1259411362,"1","TRUCK","3","M","C","2"
2.67,0.5886379192,"1","HDTOP","2","M","C","2"
3.62,0.2162902122,"0","STNWG","2","F","B","2"
1.24,0.8377823409,"1","HBACK","2","F","F","1"
4,0.6954140999,"1","STNWG","2","M","E","1"
1.33,0.9938398357,"1","STNWG","4","M","A","4"
1.56,0.6680355921,"0","SEDAN","2","M","C","6"
1.549,0.9993155373,"1","HBACK","1","F","B","4"
1.45,0.4079397673,"0","HBACK","2","F","C","2"
3.199,0.681724846,"1","STNWG","1","F","F","3"
1.44,0.6269678302,"1","UTE","4","M","A","2"
1.27,0.1204654346,"1","HBACK","1","F","A","4"
1.62,0.4216290212,"0","MIBUS","4","F","D","3"
1.22,0.052019165,"0","SEDAN","3","F","C","2"
1.74,0.8678986995,"1","HBACK","2","F","C","2"
0.75,0.5284052019,"1","HBACK","3","M","D","6"
1.54,0.8925393566,"0","TRUCK","4","M","C","4"
2.38,0.9363449692,"0","SEDAN","3","F","B","4"
1.71,0.3805612594,"0","SEDAN","2","F","C","1"
1.28,0.6899383984,"0","STNWG","4","F","F","5"
1.25,0.2737850787,"1","SEDAN","3","F","C","3"
4.41,0.9609856263,"0","STNWG","2","F","C","3"
1.49,0.4955509925,"1","HBACK","1","F","E","5"
0.9,0.5174537988,"1","HBACK","3","F","B","4"
2.61,0.3312799452,"1","HDTOP","1","F","B","4"
1.64,0.5557837098,"1","STNWG","4","M","C","3"
1.15,0.5256673511,"1","HBACK","3","F","B","2"
4.33,0.5941136208,"1","STNWG","2","M","C","5"
1.399,0.6187542779,"1","HBACK","1","M","B","3"
1.26,0.219028063,"0","SEDAN","3","M","C","6"
1.65,0.4736481862,"1","SEDAN","2","F","D","3"
0.39,0.5448323066,"0","SEDAN","4","F","B","3"
4.31,0.090349076,"0","STNWG","1","M","C","2"
3.04,0.2464065708,"1","HDTOP","1","F","C","2"
0.9,0.4052019165,"0","SEDAN","3","M","A","5"
3.1,0.8158795346,"1","UTE","2","F","F","2"
0.71,0.6406570842,"0","SEDAN","4","F","A","6"
1.74,0.1478439425,"0","UTE","3","F","D","4"
1.37,0.9993155373,"1","HBACK","2","M","A","6"
1.47,0.6516084873,"1","SEDAN","2","F","A","6"
3.88,0.5366187543,"1","STNWG","2","F","B","3"
1.52,0.6625598905,"0","UTE","3","M","E","3"
1.9,0.9418206708,"0","HBACK","3","M","B","3"
1.03,0.8295687885,"0","SEDAN","3","M","C","2"
1.38,0.1697467488,"1","HBACK","2","M","A","5"
3.55,0.3121149897,"1","STNWG","3","M","C","3"
1,0.5037645448,"1","HBACK","4","F","B","4"
0.73,0.7337440109,"0","HBACK","4","M","C","4"
1.51,0.0219028063,"0","STNWG","4","F","F","4"
1.55,0.9993155373,"0","UTE","3","M","C","5"
0.86,0.848733744,"1","SEDAN","4","F","C","2"
1.3,0.9226557153,"0","HBACK","2","F","A","2"
1.87,0.5585215606,"1","SEDAN","3","F","C","3"
0.76,0.7857631759,"1","HBACK","3","F","E","4"
2.25,0.9089664613,"1","SEDAN","2","F","E","4"
1.54,0.1861738535,"0","TRUCK","4","F","E","3"
1.89,0.8815879535,"1","SEDAN","2","F","E","4"
0.96,0.5831622177,"1","HBACK","3","F","A","5"
0.87,0.7063655031,"0","HBACK","3","F","D","4"
0.45,0.476386037,"1","HBACK","4","F","A","4"
0.95,0.810403833,"1","SEDAN","4","F","B","4"
1.559,0.386036961,"1","HBACK","1","M","C","1"
0.46,0.629705681,"1","SEDAN","4","F","C","3"
0.37,0.9144421629,"0","SEDAN","4","F","C","4"
0.99,0.5119780972,"1","HBACK","3","F","D","3"
1.68,0.257357974,"0","HBACK","1","F","C","4"
3.91,0.643394935,"1","UTE","1","M","E","3"
1.08,0.0629705681,"0","HBACK","3","F","A","6"
1.11,0.2710472279,"1","COUPE","3","F","B","3"
1.29,0.5092402464,"0","HBACK","1","F","C","3"
1.96,0.0273785079,"0","HBACK","1","F","C","5"
2.999,0.2518822724,"1","UTE","1","M","A","5"
2.61,0.8459958932,"1","STNWG","4","M","F","3"
0.41,0.9801505818,"0","HBACK","4","F","C","4"
0.4,0.9746748802,"0","SEDAN","4","M","A","6"
2.58,0.4654346338,"1","SEDAN","1","F","C","3"
1.4,0.6214921287,"1","SEDAN","3","M","A","4"
1.57,0.772073922,"1","SEDAN","2","F","C","5"
4.67,0.5119780972,"0","STNWG","1","F","C","2"
0.53,0.5256673511,"0","HBACK","4","F","E","2"
1.08,0.7885010267,"1","SEDAN","4","M","F","5"
0.89,0.553045859,"0","SEDAN","3","F","B","4"
1.69,0.7529089665,"0","HBACK","1","F","C","1"
1.15,0.7912388775,"0","HBACK","3","F","C","5"
2.23,0.3915126626,"1","STNWG","3","F","F","2"
1.18,0.0684462697,"0","STNWG","4","F","B","2"
1.26,0.8542094456,"1","HBACK","2","M","B","2"
0.88,0.3969883641,"1","COUPE","4","M","B","3"
1.07,0.9746748802,"1","HBACK","4","F","C","4"
1.45,0.6844626968,"1","HBACK","1","F","B","6"
1.92,0.6324435318,"0","SEDAN","2","M","B","3"
0.54,0.848733744,"1","HBACK","4","F","D","3"
3.55,0.2655715263,"0","UTE","2","M","B","1"
1.51,0.8021902806,"1","MIBUS","4","F","B","3"
1.76,0.128678987,"0","HBACK","1","M","C","5"
2.31,0.2327173169,"1","HBACK","1","F","B","1"
1.42,0.3175906913,"1","HBACK","2","F","A","4"
1.19,0.9993155373,"1","STNWG","4","F","C","4"
1.96,0.9089664613,"0","SEDAN","2","F","A","5"
1.52,0.7775496235,"1","SEDAN","2","F","C","4"
1.78,0.9034907598,"0","SEDAN","3","M","C","6"
2.37,0.4052019165,"0","TRUCK","3","M","F","2"
3.099,0.9719370294,"1","SEDAN","1","M","E","2"
0.65,0.052019165,"1","HBACK","4","M","B","2"
1.89,0.6680355921,"1","HBACK","3","M","C","1"
